timestamp_utc,line_left,line_middle,line_right,ultrasonic_cm
2026-07-29T20:55:26.053604+00:00,913,923,897,19
2026-07-29T20:55:26.716312+00:00,912,923,894,19
2026-07-29T20:55:27.375943+00:00,914,923,897,19
2026-07-29T20:55:28.035699+00:00,914,922,897,19
2026-07-29T20:55:28.695629+00:00,913,923,897,19
2026-07-29T20:55:29.363126+00:00,914,923,898,19
2026-07-29T20:55:30.017878+00:00,913,923,898,19
2026-07-29T20:55:30.677826+00:00,914,922,896,19
2026-07-29T20:55:31.337609+00:00,920,938,939,16
2026-07-29T20:55:31.993365+00:00,969,966,980,8
2026-07-29T20:55:32.649875+00:00,989,985,992,3
2026-07-29T20:55:33.306732+00:00,991,987,994,6
2026-07-29T20:55:33.972841+00:00,1007,1009,1011,16
2026-07-29T20:55:34.632281+00:00,675,585,496,11
2026-07-29T20:55:35.294678+00:00,730,701,720,18
2026-07-29T20:55:35.949317+00:00,130,241,127,16
2026-07-29T20:55:36.604062+00:00,336,360,210,16
2026-07-29T20:55:37.263889+00:00,209,269,150,16
2026-07-29T20:55:37.923534+00:00,299,367,272,16
2026-07-29T20:55:38.590797+00:00,155,188,65,16
2026-07-29T20:55:39.250399+00:00,147,179,66,15
2026-07-29T20:55:39.910073+00:00,143,161,62,15
2026-07-29T20:55:40.566815+00:00,144,166,62,15
2026-07-29T20:55:41.229218+00:00,142,166,61,15
2026-07-29T20:55:41.886172+00:00,145,166,61,15
2026-07-29T20:55:42.540804+00:00,143,165,61,15
2026-07-29T20:55:43.195336+00:00,144,164,61,15
2026-07-29T20:55:43.849816+00:00,144,167,62,15
2026-07-29T20:55:44.516839+00:00,144,166,64,15
2026-07-29T20:55:45.176729+00:00,141,164,61,15
2026-07-29T20:55:45.831780+00:00,148,168,61,3
2026-07-29T20:55:46.485360+00:00,144,167,61,4
2026-07-29T20:55:47.146714+00:00,143,165,60,3
2026-07-29T20:55:47.800793+00:00,145,165,62,8
2026-07-29T20:55:48.456991+00:00,144,166,62,6
2026-07-29T20:55:49.112528+00:00,146,165,62,12
2026-07-29T20:55:49.766588+00:00,143,167,62,10
2026-07-29T20:55:50.433443+00:00,144,166,61,10
2026-07-29T20:55:51.092823+00:00,143,165,61,10
2026-07-29T20:55:51.752024+00:00,143,165,61,11
2026-07-29T20:55:52.406490+00:00,144,164,63,12
2026-07-29T20:55:53.065811+00:00,143,165,62,12
2026-07-29T20:55:53.725226+00:00,143,165,62,12
2026-07-29T20:55:54.380006+00:00,145,166,62,15
2026-07-29T20:55:55.034583+00:00,143,164,61,15
2026-07-29T20:55:55.694286+00:00,142,164,60,15
2026-07-29T20:55:56.361451+00:00,142,164,62,15
2026-07-29T20:55:57.021012+00:00,144,164,60,14
2026-07-29T20:55:57.677953+00:00,144,165,62,14
2026-07-29T20:55:58.332423+00:00,144,165,62,14
2026-07-29T20:55:58.989426+00:00,145,165,62,14
2026-07-29T20:55:59.649055+00:00,142,165,60,14
2026-07-29T20:56:00.303689+00:00,144,166,61,14
2026-07-29T20:56:00.960440+00:00,145,165,61,14
2026-07-29T20:56:01.620024+00:00,142,165,63,14
2026-07-29T20:56:02.289587+00:00,144,165,62,14
